,id,X.x,name,position,office,region,year,income,income_family,income_salary,income_salary_family,income_teaching,income_teaching_family,income_royalties,income_royalties_family,income_dividents,income_dividents_family,income_help,income_help_family,income_gifts,income_gifts_family,bank_deps,bank_deps_family,flat_area,flat_area_family,house_area,house_area_family,land_area,land_area_family,cars,cars_family,cars_cargo,cars_cargo_family,cars_info,cars_family_info,cars_info_year,cars_family_info_year,car_name_similarity,title,car_price_usd,st_error,r_sq
18,1122,6653,"Мазур Роман Володимирович","Начальник Львівського міського управління юстиції","Міністерство юстиції","Львівська область",2013,42858,82257,39555,72360,0,0,0,0,0,0,3303,9897,0,0,0,0,99.8,0,0,182.4,0,0,1,0,0,0,"BMW,528;;",;;,1997;;,;;,1,"BMW 528",7332.09677419355,393.192143040214,0.94540090102722
19,1127,6654,"Сушко Людмила Петрівна",Суддя,"Загальний апеляційний суд","Київська область",2013,284563.59,0,225093.59,0,0,0,0,0,0,0,11470,0,0,0,0,0,164,0,0,0,0,0,1,0,0,0,"Nissan,Note;;",;;,2011;;,;;,0.6,"Nissan Note 1.6i  RS",10348.1488322835,177.308344643514,0.47542041037385
20,1145,779,"Бондар Марина Володимирівна",Суддя,"Адміністративний місцевий суд","Дніпропетровська область",2013,176390,24635,176390,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,1,1,0,0,"Daewoo,Sens;;","Skoda,Octavia A5;;",2004;;,2005;;,1,"Daewoo Sens",3335.39796460181,97.390021187437,0.08686711383984
21,1158,3586,"Околот Геннадій Миколайович",Суддя,"Загальний апеляційний суд","Луганська область",2013,225780,53971,225756,53847,0,0,0,0,0,0,0,100,0,0,0,0,80.2,0,0,0,0,0,2,0,0,0,"Volkswagen,Passat;Volkswagen,Passat;",;;,1991;2004;,;;,0.90909090909091,"Volkswagen Passat B5",9276.10316983113,103.168312629881,0.40894243537279
22,1158,3586,"Околот Геннадій Миколайович",Суддя,"Загальний апеляційний суд","Луганська область",2013,225780,53971,225756,53847,0,0,0,0,0,0,0,100,0,0,0,0,80.2,0,0,0,0,0,2,0,0,0,"Volkswagen,Passat;Volkswagen,Passat;",;;,1991;2004;,;;,0.90909090909091,"Volkswagen Passat B5",NA,NA,0.40894243537279
23,1170,12964,"Чернявський Анатолій Станіславович",Суддя,"Загальний апеляційний суд","Миколаївська область",2013,277923,58198,277923,0,0,0,0,0,0,0,0,0,0,0,0,0,102.5,102.5,0,0,0,0,1,0,0,0,"Kia,Carnival;;",;;,2008;;,;;,1,"Kia Carnival",13178.1333333333,646.04714823617,0.62186114022812
24,1173,13015,"Шиховець Ярослав Володимирович","Заступник директора департаменту цивільного, фінансового законодавства та законодавства з питань земельних відносин - начальник управління фінансового законодавства","Міністерство юстиції","Загальнодержавний регіон",2013,198962,52609,174902,52609,0,0,0,0,0,0,17811,0,0,0,0,0,114.5,114.5,0,0,0,0,1,0,0,0,"Honda,Accord;;",;;,2008;;,;;,0.76923076923077,"Honda Accord 2.4I S",14717.6250043521,99.9470574969727,0.90437258433256
25,1182,9792,"Петренко Павло Дмитрович",Міністр,"Міністерство юстиції","Загальнодержавний регіон",2013,3008843,0,234467,0,0,0,0,0,552282,0,35094,0,0,0,0,0,79.2,0,0,0,0,0,3,0,0,0,"Volkswagen,Golf;Toyota,Camry;Land Rover,Range Rover",;;,2007;2013;2006,;;,0.64864864864865,"Land Rover Range Rover Evoque Coupe 2.2 SD4",NA,NA,0.74905281196239
26,1182,9792,"Петренко Павло Дмитрович",Міністр,"Міністерство юстиції","Загальнодержавний регіон",2013,3008843,0,234467,0,0,0,0,0,552282,0,35094,0,0,0,0,0,79.2,0,0,0,0,0,3,0,0,0,"Volkswagen,Golf;Toyota,Camry;Land Rover,Range Rover",;;,2007;2013;2006,;;,1,"Volkswagen Golf V",10617.5714285714,285.35467666156,0.33864232977256
27,1182,9792,"Петренко Павло Дмитрович",Міністр,"Міністерство юстиції","Загальнодержавний регіон",2013,3008843,0,234467,0,0,0,0,0,552282,0,35094,0,0,0,0,0,79.2,0,0,0,0,0,3,0,0,0,"Volkswagen,Golf;Toyota,Camry;Land Rover,Range Rover",;;,2007;2013;2006,;;,0.8,"Toyota Camry 3.5",26194.3812224446,138.579238271638,0.91716184076841
