num,name,position,cars_info,cars,cars_family_info,flat_area,flat_area_family,house_area,house_area_family,income_salary,cars_sum,montly_salary
3630,Омельченко Валерій Павлович,Депутат 7-го скликання,BMW X6 4315 куб.см;Land Rover  4999 куб.см,2,Bentley Сontinental GT 3993 куб.см,386.0,268.0,0.0,611.0,240224.0,100357.0,20019.0
3631,Омельченко Валерій Павлович,Депутат 7-го скликання,"BMW X6 4315 см3, 408 кВт;Land Rover  4999 см3, 375 кВт;Lexus RX 3500 см3, 203 кВт",3,"Bentley Continental 5998 см3, 449 кВт",369.5,0.0,0.0,611.0,11569.0,136235.0,964.0
3990,Поляков Василь Леонідович,Депутат 7-го скликання,BMW X5 4000 см.куб;Bentley Continental 5998 см.куб.,2,Mini  2000 см.куб.,0.0,109.7,0.0,0.0,242513.0,123251.0,20209.0
4071,Пресман Олександр Семенович,Депутат 7-го скликання,"Chevrolet  5328 см3, 180 кВт;Maybach 57S 5519 см3, 405 кВт;Mercedes-Benz S600 5987 см3, 290 кВт;Mercedes-Benz S600 5987 см3, 290 кВт",4,"Bentley Continental 5998 см3, 412 кВт;BMW X5 4799 см3, 265 кВт",43.4,238.32,0.0,1451.8,36145.0,210513.0,3012.0
4073,Пресман Олександр Семенович,Депутат 7-го скликання,"Maybach 57S 5919 куб.см., 405 кВт, 572 см;Land Rover Range Rover Sport 4999 куб.см.,375 кВт, 485 см;Mercedes-Benz S600 5987 куб.см., 209 кВт, 511 см;Chevrolet  5328 куб.см.,180 кВт, 549 см",4,"Bentley Continental 5998 куб.см., 412 кВт, 480,7 см.",43.4,238.32,0.0,1452.8,238156.0,167746.0,19846.0
4107,Продивус Володимир Степанович,Депутат 7-го скликання,Land Rover Range Rover Evoque 3628;Lexus LX 470 4667;Jeep Grand Cherokee 4701;Toyota Land Cruiser 200 4461;Mercedes-Benz S500 4matic 4663;Mercedes-Benz GL450 4663;Rolls-Royce Phantom 6749;Mercedes-Benz S500 L4M 4973,8,Mazda CX 7 2261,0.0,0.0,0.0,356.9,201218.0,241439.0,16768.0
4202,Радуцький Михайло Борисович,заступник голови київської міської державної адмінстрації,Porsche Panamera;Mercedes-Benz CL-Class;Hyundai Santa FE;;,3,Audi Q7;Mercedes-Benz E-250;;;,135.0,0.0,256.0,0.0,166962.0,122621.0,13914.0
4232,Резниченко Валентин Михайлович,голова дніпропетровської обласної держадміністрації,Hyundai Coupe;Toyota Land Cruiser Prado;Land Rover Evoque;Lexus LX 470;Land Rover Range Rover,5,;;;,255.4,0.0,0.0,0.0,534557.0,115121.0,44546.0
4394,Рябікін Павло Борисович,Депутат 7-го скликання,Mercedes-Benz GL550 5461;Land Rover Range Rover 4999;Volkswagen Touareg 2967,3,Porsche Cayenne 2967 куб.см,567.4,120.7,0.0,242.6,190406.0,126228.0,15867.0
4395,Рябікін Павло Борисович,заступник голови київської міської державної адмінстрації,Mercedes-Benz CL 550;Dodge Ram Van;BMW 730D;Mercedes-Benz SLK 230;Volkswagen Touareg,5,Porsche Cayenne;;;;,519.93,120.7,0.0,230.92,150340.0,185147.0,12528.0
4569,Сергієнко Леонід Григорович,Депутат 7-го скликання,"Toyota TUNDRA 5700 куб.см, 381 к.с., 284 кВт, довжина 626,6 см;Lexus LX 570 5663 куб.см, 270 кВт, 567 к.с., довжина 500 см;Lexus LX 570 5663 куб.см, 270 кВт, 367 к.с., довжина 500 см;Maserati Quattroporte 3799 куб.см;Lexus LX 570 5663 куб.см, 270 кВт, 367 к.с., довжина 500 см;Mercedes-Benz Sprinter",6,"Toyota LAND CRUISER 3400 куб.см, 178 к.с., 130 кВт, довжина 477 см;Toyota LAND CRUISER 3956 куб.см, 249 к.с., 183,1 кВт, довжина 485 см;Lexus LX 570 5663 куб.см, 367 к.с., 270 кВт, довжина 499 см;Lexus LX 570 5663 куб.см, 367 к.с., 270 кВт, довжина 499 см;ВMW X6 F71 4395 куб.см",787.1,0.0,6462.3,2682.9,235201.0,145526.0,19600.0
4602,Синчук Василь Людвигович,прокурор автономної республіки крим,Mercedes-Benz;Chevrolet Tahoe;ЗИМ 12;Volvo 940;Mercedes-Benz CL 500;Mercedes-Benz S 600;Mercedes-Benz S 600;Mercedes-Benz G 55;Mercedes-Benz CL 500;BMW E66;Toyota Camry;Chevrolet Express,12,;;;;,354.2,0.0,48.1,0.0,110076.0,198676.0,9173.0
4618,Скарбовійчук Руслан Володимирович,Депутат 7-го скликання,Chevrolet Niva 1690 см3;Chevrolet Niva 1690 см3;Chevrolet Niva 1690 см3;Chevrolet Niva 1690 см3;Chevrolet Niva 1690 см3;Chevrolet Niva 1690 см3;Chevrolet Niva 1690 см3;Chevrolet Niva 1690 см3;Chevrolet Niva 1690 см3;Chevrolet Niva 1690 см3;Chevrolet Niva 1690 см3;Hyundai H1 2497 см3;Mitsubishi L200 2477 см3;Mitsubishi L200 2477 см3;Mitsubishi L200 2477 см3;Mitsubishi L200 2477 см3;Mitsubishi L200 2477 см3;Mitsubishi L200 2477 см3;Mitsubishi L200 2477 см3;Mitsubishi L200 2477 см3;Mitsubishi L200 2477 см3;Mitsubishi L200 2477 см3;Mitsubishi L200 2477 см3;Nissan Teana 3498 см3;Nissan Teana 3498 см3;Renault Traffic 1995 см3;Toyota Camry 3456 см3;ВАЗ 21214 1690 см3;ГАЗ 2705 2460 см3;ГАЗ 2705 2460 см3;ГАЗ 322132 2464 см3;ГАЗ 322132 2464 см3,32,Toyota Highlander 3456 см3,114.2,31.0,0.0,0.0,5788.0,345127.0,482.0
4625,Скляров Олександр Іванович,"член національної комісії, що здійснює державне регулювання у сфері зв'язку та інформатизації",Mercedes-Benz S 550;Mercedes-Benz GL 350;;;,2,;;;;,99.97,0.0,98.2,0.0,126386.0,119116.0,10532.0
4696,Смолій Яків Васильович,заступник голови національного банку україни,Range Rover;Toyota Land Cruiser 100;Volkswagen Multivan;Audi Q5;Mitsubishi;Hyundai Tucson,6,Mercedes-Benc ML 350;Toyota RAV-4;,187.5,223.1,418.8,0.0,1033967.0,175884.0,86164.0
4934,Табалов Олександр Миколайович,Депутат 7-го скликання,"Land Rover Range Rover 4999 см.куб, 375 кВт, 497,2 см;Mercedes-Benz S600 6208 см. куб, 386 кВт, 597,6 см",2,"Land Rover Range Rover 4999 см.куб. 375 кВт, 497,2 см;Infiniti EX 35 3498 см.куб, 209 кВт, 486,5 см",0.0,249.1,0.0,164.8,235814.0,132323.0,19651.0
4946,Тарабакін Дмитро Валерійович,член національної комісії з цінних паперів та фондового ринку,Porsche 911;BMW 330;Subaru Forester;;,3,Porsche Cayenne Turbo;Lexus RX 350;;;,70.7,124.6,197.9,0.0,155886.0,120562.0,12990.0
5071,Торчинюк Вадим Георгійович,суддя господарського суду рівненської області,Mercedes-Benz E350;Volkswagen Passat;BMW 650;BMW 650;Mercedes-Benz 418,5,BMW X5;BMW X5;Mercedes Benz S500;Mercedes Benz G350,139.3,119.0,0.0,0.0,162845.0,138241.0,13570.0
5231,Фурсін Іван Геннадійович,Депутат 7-го скликання,Hyundai Sonata 2.4;Toyota Highlander 3.5;Mercedes-Benz S500 5.5;Land Rover Range Rover 4.2;Mercedes-Benz S500 5,5,"Lexus LX 570 5700 куб.см., 282 кВ;Nissan Patrol 4800 куб.см., 280 кВт",370.3,45.0,711.3,222.8,229654.0,133758.0,19138.0
5233,Фурсін Іван Геннадійович,Депутат 7-го скликання,"Toyota Highlander 3500 куб.см;Mercedes-Benz S500 5500 куб.см, 285 кВт;Skoda Octavia 1800 куб.см, 112 кВт;Hyundai Santa Fe 2400 куб.см ;Land Rover Range Rover 4200 куб.см, 287 кВт",5,"Lexus LX 570 5700 куб.см, 282 кВт;Nissan Patrol 4800 куб.см, 280 кВт",370.3,45.0,2039.2,222.8,159895.0,129233.0,13325.0
5234,Філатов Борис Альбертович,Депутат 8-го скликання,Jaguar  5307 куб.см;Mercdes-Benz  1997 куб.см;Mercedes-Benz S600 6000 куб.см,3,Porsche Panamera 4800;Porsche Carrere 3600;Porsche Cayenne 4800,279.6,1037.0,0.0,462.4,61888.0,185835.0,5157.0
5235,Філатов Борис Альбертович,Депутат 8-го скликання,Mercedes-Benz  1997 куб.см;Jaguar  5307 куб.см;Mercedes-Benz S 600 6000 куб.см,3,Porsche Cayenne 4800 куб.см;Porsche Carrera 3600 куб.см;Porsche Panamera 4800 куб.см,279.6,1037.0,0.0,462.4,25702.0,185835.0,2142.0
