number,id,name,position,office,region,year,income,income_family,income_salary,income_salary_family,income_teaching,income_teaching_family,income_royalties,income_royalties_family,income_dividents,income_dividents_family,income_help,income_help_family,income_gifts,income_gifts_family,bank_deps,bank_deps_family,flat_area,flat_area_family,house_area,house_area_family,land_area,land_area_family,cars,cars_family,cars_cargo,cars_cargo_family,cars_info,cars_family_info,cars_info_year,cars_family_info_year
1,1786,Хамраєв Альберт Юрійович,Начальник Василівського районного управління юстиції ,Міністерство юстиції,Запорізька область,2013,37231,26601,33140,23531,0,0,0,0,0,0,4067,3070,24,0,0,0,0,0,63,0,600,0,1,0,1,0,"Daewoo,Sens;;",;;,2006;;,;;
2,1798,Зеленюк Людмила Володимирівна,Провідний спеціаліст реєстраційної служби Бершадського районного управління юстиції ,Міністерство юстиції,Вінницька область,2013,29185,1232239,29185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.44,0,0,2,0,0,;;,"Mercedes-Benz,E200;Volkswagen,Passat B7;",;;,2008;2012;
3,1801,Матросов Олександр Олексійович,Помічник міністра,Міністерство юстиції,Загальнодержавний регіон,2013,1222540.22,0,12067.22,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,1,0,0,0,"ВАЗ,21011;;",;;,1976;;,;;
4,1813,Дубровська-Олійник Марія Володимирівна,"Спеціаліст І категорії відділу зовнішньоекономічного законодавства Управління фінансового законодавства Департаменту цивільного, фінансового законодавства та законодавства з питань земельних відносин",Міністерство юстиції,Загальнодержавний регіон,2013,10730.04,158833.46,0,158833.46,0,0,0,0,0,0,0,0,0,0,0,0,77,77,0,0,0,0,0,0,0,0,;;,;;,;;,;;
5,1825,Шевченко Анна Василівна,Суддя,Адміністративний місцевий суд,м. Київ,2013,179848,4431593,167261,0,0,0,437,0,0,1671182,11470,0,30,0,0,18746854,63,346.66,284.6,0,3400,10324,1,3,0,0,"Mazda,6;;","Mazda,6;Lexus;Mercedes-Benz,ML350",2006;;,2003;2008;2013
6,1849,Шмигельський Віталій Ярославович,Начальник Гусятинського районного управління юстиції,Міністерство юстиції,Тернопільська область,2013,42337,45035,41523,43869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.3,0,8200,16500,1,1,0,0,"ВАЗ,21114;;","ВАЗ,2106;;",2006;;,1983;;
7,1863,Пилипенко Валентина Миколаївна,Помічник міністра,Міністерство юстиції,Загальнодержавний регіон,2013,24622.73,3750,24622.73,3750,0,0,0,0,0,0,0,0,0,0,0,0,59.2,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
8,1868,Донець Володимир Адольфович,Суддя,Адміністративний місцевий суд,м. Київ,2013,191342,0,191325,0,0,0,0,0,17,0,0,0,0,0,0,0,14.3,0,0,0,0,0,1,0,0,0,Suzuki;;,;;,2008;;,;;
9,1870,Стельмах Ольга Миколаївна,Заступник начальника Управління - начальник відділу Управління експертного забезпечення правосуддя,Міністерство юстиції,Загальнодержавний регіон,2013,158194,412351,144824,25736,97,0,0,0,0,0,13273,0,0,0,0,0,50,50,0,0,0,0,0,1,0,0,;;,"BMW,520;;",;;,1995;;
10,1875,Костенко Інна Володимирівна,Суддя,Загальний апеляційний суд,Київська область,2013,240693,281911,228076,0,0,0,0,0,0,0,12617,0,0,0,0,0,38.6,80.2,0,73.6,14884,100,1,0,0,0,"Peugeot,309;;",;;,1989;;,;;
11,1887,Михайловський Віктор Іванович,Суддя,Загальний апеляційний суд,Житомирська область,2013,247159,37126,234542,32579,0,0,0,0,0,0,12617,4547,0,0,0,0,72.6,119.7,110.4,0,2300.06,0,0,0,0,0,;;,;;,;;,;;
12,1907,Колеснікова Ірина Сергіївна,Суддя,Адміністративний місцевий суд,м. Київ,2013,172873.33,1264171,160962.19,608271,0,0,0,0,441.14,0,11470,0,0,0,0,0,71.7,0,0,0,0,0,0,1,0,0,;;,"Mercedes-Benz,GL550;;",;;,2010;;
13,1919,Алєксєєнко Світлана Володимирівна,Начальник Борівського районного управління юстиції ,Міністерство юстиції,Загальнодержавний регіон,2013,47999,20411,44292,20411,0,0,0,0,0,0,3386,0,0,0,0,6777,10.4,31.2,0,0,0,0,0,0,0,0,;;,;;,;;,;;
14,1969,Сторожук Ганна Миколаївна,"Заступник начальника відділу з питань діяльності місцевих органів виконавчої влади Управління конституційного та адміністративного законодавства Департаменту конституційного, адміністративного та соціального законодавства Міністерства юстиції України",Міністерство юстиції,Загальнодержавний регіон,2013,99640,0,90249,0,0,0,0,0,0,0,9391,0,0,0,0,0,28.3,0,117.4,0,1500,0,0,0,0,0,;;,;;,;;,;;
15,1988,Шеметенко Людмила Петрівна,Суддя,Апеляційний адміністративний суд,Одеська область,2013,235487,0,235487,0,0,0,0,0,0,0,0,0,0,0,10390,0,0,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
16,1990,Леонтович Андрій Миколайович,Суддя,Адміністративний місцевий суд,м. Київ,2013,200994,34797,167770,32503,0,0,0,0,21754,0,11470,2294,0,0,0,0,17.15,17.15,0,0,0,0,3,0,0,0,"ВАЗ,2105;Skoda,Octavia;Toyota,Camry",;;,1988;1998;2008,;;
17,2013,Циркун Катерина Юріївна,Спеціаліст I категорії відділу координації виконання рішень Європейського суду з прав людини Секретаріату Урядового уповноваженого у справах Європейського суду з прав людини,Міністерство юстиції,Загальнодержавний регіон,2013,6000,296772,6000,296772,0,0,0,0,0,0,0,0,0,0,0,0,146.8,187.9,0,0,0,0,1,1,0,0,"Mercedes-Benz,ML 350;;","BMW,X5;;",2011;;,2008;;
18,2018,Каралюс Володимир Маріянович,Суддя,Апеляційний адміністративний суд,Львівська область,2013,240144.46,70575,227527.46,65513,0,0,0,0,0,0,12617,5062,0,0,0,0,0,0,0,175,0,1600,1,1,0,0,"Skoda,Octavia;;","Honda,CR-V;;",2008;;,2007;;
19,2044,Шевченко Василь Олександрович,Начальник Щорського районного управління юстиції Чернігівської області,Міністерство юстиції,Чернігівська область,2013,91930,58154,36429,58154,0,0,0,0,0,0,0,0,0,0,0,6200,0,0,163,0,2230,0,1,0,0,0,"ВАЗ,2121;;",;;,1987;;,;;
20,54,Серебрякова Тетяна Валеріївна,Суддя,Загальний апеляційний суд,Миколаївська область,2013,210481.41,40669.52,210457.44,40669.52,0,0,0,0,0,0,0,0,0,0,0,0,69.1,66.2,0,0,0,0,0,0,0,0,;;,;;,;;,;;
21,59,Бенедисюк Олександр Олександрович,Начальник Ратнівського районного управління юстиції Волинської області,Міністерство юстиції,Волинська область,2013,69499,129348,46458,65975,0,0,0,0,0,0,0,13373,0,0,0,186,0,0,121,0,4700,1200,0,0,1,1,;;,;;,;;,;;
22,73,Борисенко Сергій Петрович,"Головний спеціаліст відділу з питань підприємництва та приватизації Управління цивільного законодавства та підприємницької діяльності Департаменту цивільного, фінансового законодавства та законодавства з питань земельних відносин",Міністерство юстиції,м. Київ,2013,79580,0,79580,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39,0,0,0,3020,0,2,0,0,0,"Hyundai,Accent;Volkswagen,Transporter;",;;,2009;1987;,;;
23,78,Горбатенко Вадим Нестерович,Заступник начальника відділу адміністрування та безпеки інформаційних систем ДАІ ЦБДР та АС (підпорядкований ДДАІ) при МВС України,Міністерство внутрішніх справ,Загальнодержавний регіон,2013,0,0,71599.39,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,1200,0,1,0,0,;;,"Toyota,RAV4;;",;;,2007;;
24,92,Кагляк Ярослава Олексіївна,"Начальник відділу з питань діяльності місцевих органів виконавчої влади Управління конституційного та адміністративного законодавства Департаменту конституційного, адміністративного та соціального законодавства",Міністерство юстиції,Загальнодержавний регіон,2013,126703,116510,114840,114410,146,0,0,0,0,2100,11717,0,0,0,0,39550,18.5,37,0,47,0,1631.5,1,0,0,0,"Dacia,Logan;;",;;,2007;;,;;
25,97,Сініцина Оксана Станіславівна,Головний спеціаліст відділу по роботі з кадрами територіальних органів юстиції Департаменту кадрової роботи та державної служби,Міністерство юстиції,Загальнодержавний регіон,2013,69914,38000,63281,0,0,0,0,0,0,0,6633,0,0,0,0,0,33.4,45.5,0,0,0,0,1,0,0,0,"Daewoo,Lanos;;",;;,2006;;,;;
26,100,Габрієль Віктор Олександрович,Суддя,Загальний апеляційний суд,Київська область,2013,352370.66,238204,241090.79,0,0,0,0,0,98640,0,12639.87,0,0,0,400000,946240,0,115.3,0,0,3060,0,1,0,0,0,"Hyundai,Santa Fe;;",;;,2006;;,;;
27,117,Кравчук Віктор Оксентійович,Суддя,Господарський місцевий суд,Волинська область,2013,481185,20756,260756,0,1680,0,0,0,1105,1429,0,0,0,0,104406,33967,61,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
28,129,Кадура Ольга Олексіївна,Спеціаліст І категорії відділу архівної роботи реєструючої служби  Головного управління юстиції у м. Київ,Міністерство юстиції,м. Київ,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
29,148,Степанова Людмила Валеріївна,Суддя,Господарський місцевий суд,Одеська область,2013,182986,30724,169068,29523,0,0,0,0,0,0,11470,1201,0,0,0,0,60.3,0,0,0,0,0,1,1,0,0,"Mercedes-Benz,ML 320;;","Honda,Accord;;",2008;;,2008;;
30,155,Цугель Ігор Миколайович,Суддя,Загальний апеляційний суд,Хмельницька область,2013,260700,95502,237993,93607,0,0,0,0,21957,29,0,0,0,0,0,23012,65,0,0,0,1550,610,2,0,0,0,"Mazda,6;ВАЗ,21063;",;;,2008;1984;,;;
31,174,Луганська Валентина Миколаївна,Суддя,Загальний апеляційний суд,Луганська область,2013,35508.29,452350.56,6820.8,254513.55,0,0,0,0,2654.32,18815.77,0,0,24,24,28663.49,238618.42,80.5,80.5,81.3,204.7,119900,2779,1,2,0,0,"Toyota,Yaris;;","ГАЗ,21;Mitsubishi,Pajero;",2007;;,1968;2010;
32,193,Гусак Микола Борисович,Суддя,Верховний суд,Загальнодержавний регіон,2013,396643,21905,380643,21905,1089,0,0,0,0,0,14911,0,0,0,0,0,90,0,0,0,1700,0,0,0,0,0,;;,;;,;;,;;
33,218,Войтків Ігор Станіславович,Начальник Збаразького районного Управління юстиції  Тернопільскої області,Міністерство юстиції,Тернопільська область,2013,80453,14400,57773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,530,0,1,0,0,0,"ГАЗ,31029;;",;;,1993;;,;;
34,225,Мельников Андрій Сергійович,Старший уповноважений з ОВС ОУ ГУ Міндоходів ,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/ ,Запорізька область,2013,46323.59,0,46323.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
35,237,Новіцький Едуард Йосипович,Суддя,Загальний апеляційний суд,Кіровоградська область,2013,259245,70263,246628,64586,0,0,0,0,0,0,12617,0,0,0,0,0,165,0,0,0,0,7700,2,0,0,0,"KIA,Cherato;Mitsubishi,Lancer;",;;,2007;2009;,;;
36,251,Пасічник Михайло Францович,Голова Державної служби з лікарських засобів,Державна служба з лікарських засобів,Загальнодержавний регіон,2013,274735.61,1998852.98,192711.94,38390.47,0,0,0,0,0,0,1600,1600,0,1954400,0,0,55.57,182.2,185.2,185.2,750,992,1,1,0,0,"Volkswagen,Golf;;","Lexus,RX;;",2002;;,2006;;
37,268,Дзьонь Оксана Олексіївна,Начальник Золочівського районнного управління юстиції,Міністерство юстиції,Харківська область,2013,37093,9890,34470,0,0,0,0,0,0,0,2623,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,;;,"ВАЗ,21101;;",;;,2006;;
38,294,Рідзель Олексій Анатолійович,Суддя,Адміністративний місцевий суд,Черкаська область,2013,92237,74964,80719,58573,0,0,0,0,0,0,11470,16391,48,0,0,0,89.6,49.4,0,0,0,0,0,0,0,0,;;,;;,;;,;;
39,840,Каракашьян Сергій Костянтинович,Суддя,Адміністративний місцевий суд,м. Київ,2013,204189,70518,191147,38598,0,0,0,0,0,0,0,1560,0,0,693,1920,22.5,22.5,0,0,1500,3000,1,0,0,0,"Volkswagen,Golf;;",;;,1999;;,;;
40,876,Корко Катерина Григорівна,Головний спеціаліст департаменту антикорупційного законодавства та законодавства про правосуддя,Міністерство юстиції,Загальнодержавний регіон,2013,82662,46906,74010,46906,944,0,0,0,0,0,7708,0,0,0,0,0,67.9,67.9,0,62.8,0,1541,0,1,0,0,;;,"ВАЗ,21063;;",;;,1989;;
41,903,Зіміна Вероніка Борисівна,Суддя,Загальний апеляційний суд,Київська область,2013,241421.83,0,228804.83,0,0,0,0,0,0,0,12617,0,0,0,0,0,45.5,0,124.4,45.5,26500,0,1,0,0,0,Seat;;,;;,1995;;,;;
42,939,Ковальчин Микола Якович,Начальник Бучацького районного управління юстиції,Міністерство юстиції,Тернопільська область,2013,166674,115494,38301,115494,0,0,0,0,0,0,0,0,0,0,0,0,182.2,0,0,0,2811,1024,0,0,0,0,;;,;;,;;,;;
43,965,Мироненко Тетяна Панасівна,Провідний спеціаліст по роботі з персоналом Державних служб України Департаменту кадрової роботи та державної служби,Міністерство юстиції,Загальнодержавний регіон,2013,21802.75,40716.3,1933.75,33362.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,180,149700,149700,0,0,0,0,;;,;;,;;,;;
44,977,Черненко Віра Анатоліївна,Суддя,Вищий спеціалізований суд з розгляду цивільних і кримінальних справ,Загальнодержавний регіон,2013,309008,12000,304290,12000,0,0,0,0,4718,0,0,0,0,0,0,0,62,53,56.3,0,6400,600,1,0,0,0,"Land Rover,Freelander;;",;;,2012;;,;;
45,984,Клок Олег Миколайович,Суддя,Загальний апеляційний суд,Волинська область,2013,209339,99614,209339,99614,0,0,0,0,0,0,0,0,0,0,0,1373,99.8,50,0,0,0,0,1,0,0,0,"Skoda,Octavia;;",;;,2005;;,;;
46,996,Владимиренко Світлана Вячеславівна,Суддя,Вищий господарський суд,Загальнодержавний регіон,2013,248251,152354,234487,51399,0,0,0,0,0,13665,13764,0,0,0,0,103071,123.4,63.2,144.1,349.3,1000,760,1,0,0,0,"Volvo,S80;;",;;,2007;;,;;
47,1008,Ярошенко Вікторія Ігорівна,Суддя,Господарський місцевий суд,Дніпропетровська область,2013,166936.33,937927.1,166897.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,;;,"Subaru,Forester;Hyundai,Santa Fe;",;;,2006;2012;
48,1034,Амрузов Мераб Татікович,"Головний спеціаліст відділу зв’язків із засобами масової інформації, управління з громадськістю та забезпечення діяльності міністра (патронатна служба)",Міністерство освіти і науки,Загальнодержавний регіон,2013,89360.79,0,89360.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
49,1046,Черничка Людмила Володимирівна,"Начальник відділу з питань діяльності місцевих органів виконавчої влади Управління конституційного та адміністративного законодавства Департаменту конституційного, адміністративного та соціального законодавства",Міністерство юстиції,Загальнодержавний регіон,2013,1560,96308,0,77830,0,0,0,0,0,0,0,8158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
50,1065,Демешин Олександр Анатолійович,Суддя,Господарський місцевий суд,Одеська область,2013,220523,0,200718,0,0,0,0,0,8335,0,11470,0,0,0,0,1980,80.1,89.2,0,0,0,0,1,1,0,0,"Acura,MDX;;","Mitsubishi,Outlander;;",2008;;,2009;;
51,1072,Карташов Олександр Юрійович,Суддя,Загальний апеляційний суд,Луганська область,2013,234648,0,233879,0,0,0,0,0,0,0,745,0,24,0,0,0,49.7,0,0,0,0,0,1,0,0,0,"Toyota,RAV4;;",;;,2010;;,;;
52,1104,Семенюк Андрій Ярославович,Помічник судді,Адміністративний місцевий суд,Волинська область,2013,20065,47912,20065,45714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,1,0,0,0,"ВАЗ,21114;;",;;,2007;;,;;
53,1111,Андрієва Тамара Володимирівна,Заступник директора Департаменту міжнародного права та співробітництва - начальник управління Міжнародно-правової експертизи,Міністерство юстиції,Загальнодержавний регіон,2013,208668,0,190863,0,0,0,0,0,0,0,17805,0,0,0,0,0,107,56,0,0,0,0,1,0,0,0,"Suzuki,SX4;;",;;,2008;;,;;
54,1116,Хаюк Сергій Миколайович,Суддя,Апеляційний адміністративний суд,Житомирська область,2013,378337,14418,228982,14418,0,0,0,0,0,0,12617,0,0,0,0,39669,0,59.9,0,0,0,0,1,0,0,0,"Renault,Lodgy;;",;;,2013;;,;;
55,1130,Оринчук Ірина Володимирівна,"Провідний експерт відділу законодавства про надра, водного та лісового законодавства Управління законодавства з питань земельних відносин, агропромислового комплексу та охорони довкілля Департаменту цивільного, фінансового законодавства та законодавства з питань земельних відносин",Міністерство юстиції,Загальнодержавний регіон,2013,63784,119615,58523,112146,0,0,0,0,0,0,5261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
56,1161,Божко Сергій Георгійович,Голова інспекції з ядерного регулування України,Державна інспекція ядерного регулювання,Загальнодержавний регіон,2013,351910.63,0,351910.63,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,298.2,0,715,0,1,0,0,;;,"Mazda,3;;",;;,2004;;
57,1166,Кушнова Альона Олександрівна,Суддя,Адміністративний місцевий суд,Кримська Автономна Республіка,2013,188718.97,0,173487.54,0,0,0,0,0,0,0,11470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
58,1173,Шиховець Ярослав Володимирович,"Заступник директора департаменту цивільного, фінансового законодавства та законодавства з питань земельних відносин - начальник управління фінансового законодавства",Міністерство юстиції,Загальнодержавний регіон,2013,198962,52609,174902,52609,0,0,0,0,0,0,17811,0,0,0,0,0,114.5,114.5,0,0,0,0,1,0,0,0,"Honda,Accord;;",;;,2008;;,;;
59,1217,Власова Світлана Георгіївна,"Суддя, заступник голови суду",Господарський місцевий суд,Одеська область,2013,239903.31,330802,239903.31,319042,0,0,0,0,0,926,0,0,0,0,4238.98,12093,72.3,0,0,182.9,0,357,1,1,0,0,"Hyundai,Santa Fe;;","Hyundai,SantaFe;;",2012;;,2012;;
60,1231,Карпенюк Олена Іванівна,Начальник Зарічненського районного управління юстиції,Міністерство юстиції,Рівненська область,2013,35951,0,29872,0,0,0,0,0,0,0,1384,0,0,0,0,0,47.4,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
61,1243,Фельмецгер Віктор Володимирович,Начальник Любомльського районного управління юстиції,Міністерство юстиції,Волинська область,2013,135969,89125,50299,32265,0,0,0,0,0,0,0,0,0,0,0,3000,90.2,0,0,45,0,10400,1,0,0,0,Fiat;;,;;,2013;;,;;
62,1262,Гінда Оксана Миколаївна,Суддя,Апеляційний адміністративний суд,Львівська область,2013,239623,0,227006,0,0,0,0,0,164,0,12617,0,0,0,0,0,36.6,62,0,0,0,0,0,0,0,0,;;,;;,;;,;;
63,1267,Гірняк Любов Анатоліївна,Суддя,Загальний апеляційний суд,Одеська область,2013,996564,127582,232801,42446,1220,0,0,0,26,0,12617,0,0,0,8401,569,101,0,60,0,0.29,0,0,1,0,0,;;,"Nissan,X-Trail;;",;;,2010;;
64,1274,Прилуцька Любов Петрівна,Начальник Чечельницького районного управління юстиції,Міністерство юстиції,Вінницька область,2013,38088.44,45214.76,38088.44,17065.16,0,0,0,0,0,0,0,0,0,0,0,0,66.5,0,138.5,0,2500,0,0,2,0,0,;;,"Kia,Sorento;Audi,1781;",;;,2008;2004;
65,1298,Балан Василь Дмитрович,Суддя,Загальний апеляційний суд,Одеська область,2013,314190.13,0,257773.13,0,0,0,0,0,0,0,12617,0,0,0,0,0,39.3,48.9,0,0,0,0,1,0,0,0,"SsangYong,Korando;;",;;,2013;;,;;
66,1301,Власюк Віталій Вікторович,Головний спеціаліст відділу координаціі виконання рішень Європейського суду з прав людини Секреторіату Урядового Уповноваженного у справах Європейського суду з прав людини,Міністерство юстиції,Загальнодержавний регіон,2013,32679,0,32679,0,0,0,0,0,0,0,0,0,0,0,0,0,88.3,0,0,0,0,0,1,0,0,0,"Lexus,CT;;",;;,2011;;,;;
67,1306,Лізанець Олександр Володимирович,Начальник Одеського міського управління юстиції,Міністерство юстиції,Одеська область,2013,240479,0,38705,0,0,0,0,0,0,0,1488,0,0,0,0,0,0,162,0,0,0,0,0,1,0,0,;;,"Toyota,Camry;;",;;,2008;;
68,1320,Онищенко Едуард Анатолійович,Суддя,Загальний апеляційний суд,Запорізька область,2013,225699,0,225699,0,0,0,0,0,0,0,0,0,0,0,0,0,79.68,0,0,0,0,0,1,0,0,0,"Toyota,Camry;;",;;,2012;;,;;
69,1349,Адам Юлія Василівна,Провідний спеціаліст відділу представництва інтересів Міністерства юстиції в судах України Департамену судової роботи та експертного забезпечення правосуддя,Міністерство юстиції,Загальнодержавний регіон,2013,53003.98,48000,36552.98,0,0,0,0,0,0,0,4021,0,0,0,0,0,64,64,0,0,0,0,1,0,0,0,"Honda,Jazz;;",;;,2010;;,;;
70,338,Бараненко Лариса Яківна,Суддя - секретар судової палати,Загальний апеляційний суд,Запорізька область,2013,360932.39,36000,289771.48,0,0,0,0,0,0,0,0,0,0,0,0,0,86,50,0,0,0,0,2,0,0,0,"Daewoo;Mitsubishi,Lancer;",;;,2004;2008;,;;
71,357,Бойко Раїса Іванівна,"Головний спеціаліст Департаменту планово-фінансової діяльності, бухгалтерського обліку та звітності",Міністерство юстиції,Загальнодержавний регіон,2013,81036,0,81036,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
72,371,Токарева Аліса Олегівна,Провідний спеціаліст відділу контролю Департаменту організаційного та ресурсного забезпечення,Міністерство юстиції,Загальнодержавний регіон,2013,21356,0,17782,0,0,0,0,0,0,0,3574,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Toyota,Land Cruiser Prado;;",;;,2006;;,;;
73,410,Мандра Ганна Андріївна,Начальник відділу зовнішньоекономічного законодавства Управління фінансового законодавства,Міністерство юстиції,Загальнодержавний регіон,2013,0,293400,0,293400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,;;,"Mitsubishi,Lancer;;",;;,2007;;
74,427,Жмурський Руслан Ігорович,Інспектор патрульної служби ВПС Ізюмського МВГУМВС України,Міністерство внутрішніх справ,Харківська область,2013,7885,0,7885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
75,460,Прібилов Вадим Михайлович,Суддя,Загальний апеляційний суд,Одеська область,2013,442335.16,0,225676,0,2808.2,0,0,0,0,0,12617,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"Skoda,Octavia;Toyota,Land Cruiser Prado;",;;,2005;2007;,;;
76,465,Єрмаков Юрій В’ячеславович,Суддя,Загальний апеляційний суд,Луганська область,2013,195883,0,195811,0,0,0,0,0,0,0,0,0,72,0,0,0,32.9,0,453.3,0,1050,0,1,0,0,0,"Daewoo,Lanos;;",;;,2004;;,;;
77,472,Парінова Ірина Костянтинівна,Суддя,Вищий спеціалізований суд з розгляду цивільних і кримінальних справ,Загальнодержавний регіон,2013,358940,30622,312315,0,0,0,0,0,0,0,0,0,0,0,10000,0,55.5,55.5,0,0,897,3846,0,1,0,0,;;,"Suzuki,Grand Vitara;;",;;,2007;;
78,489,Швець Віктор Володимирович,Суддя,Вищий адміністративний суд,Загальнодержавний регіон,2013,672082.71,160000,258318.71,0,0,0,0,0,0,0,13764,0,0,0,0,0,0,0,50,0,0,0,1,0,0,0,"Peugeot,308;;",;;,2012;;,;;
79,504,Костів Олександр Зіновійович,Суддя,Загальний апеляційний суд,Тернопільська область,2013,204401,55196,191784,52874,0,0,0,0,0,0,12617,2323,0,0,0,0,0,70.1,0,0,0,0,1,0,0,0,"Hyundai,Elantra;;",;;,2008;;,;;
80,535,Лиска Ігор Григорович,Суддя,Адміністративний місцевий суд,м. Київ,2013,201914,0,190444,0,0,0,0,0,0,0,11470,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
81,554,Сагань Володимир Олександрович,Начальник Кам'янського районного управління юстиції,Міністерство юстиції,Черкаська область,2013,78958,0,48219,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,52.5,59,59,20305,20305,1,0,0,0,"ВАЗ,21043;;",;;,2005;;,;;
82,559,Люта Наталія Юріївна,Заступник начальника Білоцерківскького міськрайонного управління юстиції,Міністерство юстиції,Київська область,2013,40700,32000,40700,0,0,0,0,0,0,3000,0,0,0,0,0,17000,109,109,0,0,0,0,0,0,0,0,;;,;;,;;,;;
83,580,Бакус Володимир Ярославович,Суддя,Загальний апеляційний суд,Львівська область,2013,447846,220020,250676,35467,0,0,0,0,0,0,12617,2692,0,0,0,0,0,65.5,0,0,24,0,3,0,0,0,"Mitsubishi,Lancer;Nissan,Juke;Москвич,2140",;;,2006;2011;1979,;;
84,600,Білак Світлана Вікторівна,Суддя,Апеляційний адміністративний суд,Донецька область,2013,200328.7,32226,187711.7,32226,0,0,0,0,0,0,12617,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Volkswagen,Jetta;;",;;,2009;;,;;
85,605,Усманова Світлана Семенівна,Суддя,Загальний апеляційний суд,Луганська область,2013,261598,0,261598,0,0,0,0,0,0,0,0,0,0,0,0,0,71.8,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
86,1541,Романець Світлана Василівна,Головний спеціаліст відділу державної реєстрації речових прав на нерухоме майно реєстраційної служби Луцького районного управління юстиції,Міністерство юстиції,Волинська область,2013,9190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
87,1565,Безверхий Олександр Михайлович,"Суддя, заступник голови апеляційного суду Сумської області.",Загальний апеляційний суд,Сумська область,2013,381741,23460,306663,0,0,0,0,0,0,0,0,0,0,0,0,10000,106.7,0,0,32.1,480,800,1,0,0,0,"Nissan,Almera;;",;;,2007;;,;;
88,1584,Шевченко Володимир Альбертович,Суддя,Загальний апеляційний суд,Сумська область,2013,244407,1330292,231790,300272,0,0,0,0,0,271918,0,0,0,0,0,146900,0,73.9,0,0,2987,21061,1,2,0,0,Toyota;;,Mitsubishi;ВАЗ;,2011;;,2008;2008;
89,1591,Забродський Михайло Іванович,Суддя,Загальний апеляційний суд,Житомирська область,2013,343097.59,0,264147.54,0,0,0,0,0,8624.57,0,12617,0,0,0,100000,0,117.26,0,0,0,0.33,0,1,0,0,0,"Skoda,Octavia;;",;;,2007;;,;;
90,1642,Таргоній Наталія Олександрівна,Заступник начальника відділу координації виконання рішень Європейського суду з прав людини Секретаріату Урядового уповноваженого у справах Європейського суду з прав людини,Міністерство юстиції,Загальнодержавний регіон,2013,49413,76971,49413,76971,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,;;,;;,;;,;;
91,1654,Жолудько Людмила Дмитрівна,Суддя,Загальний апеляційний суд,Тернопільська область,2013,303948,0,240894,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5,0,0,0,0,0,1,0,0,0,"Kia,Picanto;;",;;,2008;;,;;
92,1673,Друзенко Наталія Василівна,Суддя,Адміністративний місцевий суд,Рівненська область,2013,136089,0,0,0,0,0,0,0,312,0,0,0,48,0,55951,0,34.9,0,0,0,0,0,0,0,0,0,;;,;;,;;,;;
93,1724,Кадикало Микола Олегович,Помічник-консультант народного депутата України,Верховна Рада,Загальнодержавний регіон,2013,74894.68,132015.32,74894.68,132015.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.2,0,0.73,0.161,0,1,0,0,;;,"Nissan,Qashqai;;",;;,2008;;
