number,id,name,position,office,region,year,income,income_family,income_salary,income_salary_family,income_teaching,income_teaching_family,income_royalties,income_royalties_family,income_dividents,income_dividents_family,income_help,income_help_family,income_gifts,income_gifts_family,bank_deps,bank_deps_family,flat_area,flat_area_family,house_area,house_area_family,land_area,land_area_family,cars,cars_family,cars_cargo,cars_cargo_family,cars_info,cars_family_info,cars_info_year,cars_family_info_year
3187,vulyk_1_910,Беркута Богдан Анатолійович,старший прокурор відділу прокуратури Полтавської області,Прокуратура,Полтавська область,2014,102228,20460,100728,0,0,0,0,0,0,0,1500,0,0,0,0,0,30.8,30.8,0,0,0,0,1,1,0,0,Audi 100;;;;;,ЗАЗ Ланос;;;;;,1991;;;;;,2011;;;;;
3188,vulyk_1_1020,Шурашкевич Василь Миколайович,старший прокурор прокуратури м. Біла Церква Київської області,Прокуратура,Київська область,2014,93286,20904,92989,20400,0,0,0,0,297,504,0,0,0,0,0,0,30.1,30.1,0,0,0,0,1,1,0,0,Skoda Fabia;;;;;,Skoda Fabia;;;;;,2011;;;;;,2011;;;;;
3189,vulyk_1_124,Костенко Микола Іванович,суддя Вищого адміністративного суду України,Вищий адміністративний суд,Загальнодержавний регіон,2013,436689.5,78958.91,340285.5,69867.64,0,0,0,0,0,0,13764,9091.27,0,0,82640,0,106,0,0,0,0.32,0,2,0,0,0,Volkswagen Tiguan;Volkswagen Touareg NF;;;;,;;;;;,2011;2012;;;;,;;;;;
3190,vulyk_1_915,Батіг Ростислав Вікторович,прокурор прокуратури Києво-Святошинського району Київської області,,Київська область,2014,59289,0,54234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Nissan Note;;;;;,;;;;;,2013;;;;;,;;;;;
3191,vulyk_1_1568,Сатиренко Сергій Михайлович,головний спеціаліст з питань захисту державних таємниць прокуратури Рокитнянського району,Прокуратура,Київська область,2014,101349,42869,75669,42869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.4,246.8,4596,11353,1,1,0,0,Renault Trafic;;;;;,Chevrolet Aveo;;;;;,2008;;;;;,2007;;;;;
3192,vulyk_1_41,Ковтун Андрій Миколайович,головний спеціаліст,,,2013,50274.54,18552.54,45687.54,18552.54,0,0,0,0,0,0,4587,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
3193,vulyk_1_984,Захабнук Сергій Володимирович,прокурор Кагарлицької міжрайонної прокуратури,Прокуратура,Київська область,2014,89413.6,3792.51,85413.6,0,0,0,0,0,0,0,0,0,0,0,0,0,37,13.7,0,0,3.0452,0,1,0,0,0,Opel Kadett;;;;;,;;;;;,1987;;;;;,;;;;;
3194,vulyk_1_1289,Ковальова Ганна Леонідівна,прокурор прокуратури,Прокуратура,,2014,74019,122071,62349.24,122071,0,0,5411.76,0,0,0,5418,0,0,0,0,0,116.5,0,0,0,0,0,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
3195,vulyk_1_1380,Овчаренко Сергій Миколайович,перший заступник прокурора м. Черкаси,Прокуратура,Черкаська область,2014,202338.81,66000,112644.71,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0.061,0,2,0,0,0,Audi A4;Land Rover Range Rover;;;;,;;;;;,2012;2013;;;;,;;;;;
3196,vulyk_1_1354,Ломіковська Лариса Ярославівна,начальник режимно-таємної частини прокуратури Тернопільської області,Прокуратура,Тернопільська область,2014,103247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.1,0,0,0,0,0,0,1,0,0,;;;;;,Toyota Camry;;;;;,;;;;;,2005;;;;;
